title;count;image-src;price;category;availability
Пиво Kalush Browar Експортове Барное 12% 0,5л;500 мл;https://img3.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1458125517.ad72436478c_2016-03-18_vitaliy/zakaz-2-HP-630-Notebook-PC.1458125517.SNDDE581.obj.0.9.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;17,5;Пиво;Нет в наличии
ПИВО LANDERBRAU ПШЕНИЧНЕ 0,33Л;330 мл;https://img2.zakaz.ua/zakaz-HP-630-2-Notebook-PC.1433932342.ad72436478c_2015-06-10_vitaliy/zakaz-HP-630-2-Notebook-PC.1433932342.SN1741CD.obj.0.8.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;21,9;Пиво;Нет в наличии
Вермут Marengo Rosso десертный розовый сладкий 16% 1л;1 л;https://img2.zakaz.ua/20160125.1453814470.ad72436478c_2016-01-26_Yana/20160125.1453814470.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;60;Вино;Нет в наличии
Сидр Somersby яблочный 4.7% 0,95л;950 мл;https://img2.zakaz.ua/20190530.1559228078.ad72436478c_2019-05-30_Tatiana/20190530.1559228078.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;35,9;Слабоалкогольные напитки;Добавить в корзину
Пиво Praga светлое 0,5л ж/б;500 мл;https://img3.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1554287700.ad72436478c_2019-04-08_Sergeii_auchan_Mari/zakaz-2-HP-630-Notebook-PC.1554287700.SNE13701.obj.0.9.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;29,75;Пиво;Добавить в корзину
Вино красное Винодельческое хозяйство Князя П.Н.Трубецкаго Оксамыт Украины Марочное натуральное виноградное столовое сортовое сухое 13.5% 750мл;750 мл;https://img3.zakaz.ua/20180402.1522686325.ad72436478c_2018-04-02_Listex/20180402.1522686325.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;174,9;Вино;Нет в наличии
Вино Casa Verde Карменер красное сухое 13,5% 0,75л;750 мл;https://img3.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1555043201.ad72436478c_2019-04-15_Kostia_Auchan_Alexey/zakaz-2-HP-630-Notebook-PC.1555043201.SND186F2.obj.0.6.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;149,9;Вино;Добавить в корзину
Бренди Metaxa 7* 0,7л;700 мл;https://img3.zakaz.ua/20191104.1572870068.ad72436478c_2019-11-04_Victoria/20191104.1572870068.SNCPSG10.obj.0.1.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;429,9;Крепкий алкоголь;Добавить в корзину
Сидр Cidre Royal яблочный полусладкий 0,33л стекло;330 мл;https://img2.zakaz.ua/zakaz-Lenovo-ideapad-320.1559823645.ad72436478c_2019-06-14_Sergeii_novus_Mari/zakaz-Lenovo-ideapad-320.1559823645.SND74023.obj.0.6.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;7,64;Слабоалкогольные напитки;Нет в наличии
CHIZAY ЧІЗАЙ Ч/НСОЛ 0,75;750 мл;https://img3.zakaz.ua/zakaz-2-HP-630-Notebook-PC.1464004696.ad72436478c_2016-05-24_vitaliy/zakaz-2-HP-630-Notebook-PC.1464004696.SNDDE581.obj.0.7.jpg.oe.jpg.pf.jpg.350nowm.jpg.350x.jpg;39,9;Вино;Нет в наличии
